"flagCode","country","imfGDP","unGDP","PPP","GNIAtlasMethod"
"BI","Burundi",213.69006254343296,280.2515635858235,840,240
"MG","Madagascar",502.8908972624287,456.7709303710672,1720,510
"MW","Malawi",505.98439870184234,565.2972393894518,1700,640
"CF","Central African Republic",509.67844912647286,434.52536421150387,1020,480
"SL","Sierra Leone",516.7923499312341,394.72255008339204,1900,510
"SD","Sudan",520.0137044371019,710.9544521031859,4150,760
"SS","South Sudan",534.6711735363613,378.7124245208716,,
"MZ","Mozambique",644.7910147424906,516.5849510407867,1410,500
"SO","Somalia",651.4472365388432,530.1530931532916,1360,470
"CD","DR Congo",653.7241208167895,554.3799631310267,1280,590
"NE","Niger",673.9786086296198,552.1459427318772,1510,610
"LR","Liberia",829.4932483716352,569.7226240183138,1620,680
"ML","Mali",859.6441100369858,747.146689524898,2420,850
"TD","Chad",890.1764927131886,799.816222855973,1640,690
"BF","Burkina Faso",909.7555099565518,796.5490600051506,2400,840
"RW","Rwanda",940.4020783428167,913.7364183591525,2730,930
"GM","Gambia",954.6116530656357,790.7401960958014,2470,810
"GW","Guinea-Bissau",956.2039901845726,699.9093139869839,2220,820
"TG","Togo",1011.3551150478162,831.8673553043169,2610,990
"LS","Lesotho",1013.4048711135182,967.863006279302,3160,1260
"NG","Nigeria",1064.0345559260381,2000.0126300899262,5650,2140
"UG","Uganda",1095.8472236007076,938.8653086801764,2650,930
"TZ","Tanzania",1128.4142664563071,,3040,1200
"ZM","Zambia",1363.1530672313006,1329.5990216255436,3680,1170
"BJ","Benin",1442.5731546795369,1174.3089540652738,4020,1400
"ET","Ethiopia",1514.1874335656075,878.2036140309436,2800,1020
"KM","Comoros",1610.698116434671,1412.011367768141,3850,1610
"GN","Guinea",1685.2652701709303,1380.5770975582295,2840,1180
"CM","Cameroon",1780.6642056540816,1484.024056788479,5080,1660
"KE","Kenya",1807.6913049146135,1971.4074653456742,5680,2170
"SN","Senegal",1872.4910204944013,1467.1402915698288,4100,1640
"MR","Mauritania",1999.6011333832546,2069.064130978766,6330,2160
"ZW","Zimbabwe",2029.6977133822595,1558.5459093376123,2460,1500
"GH","Ghana",2145.8862717921074,2103.737989921373,6380,2350
"AO","Angola",2359.707991803279,2902.279713114754,6450,1900
"CG","Republic of the Congo",2390.4917001313916,2366.4032668973728,3520,2060
"CI","Ivory Coast",2656.8943643672715,2140.4918759457682,6330,2620
"EG","Egypt",2936.6034165216365,3457.9777976783876,14590,4100
"ST","Sao Tome and Principe",3125.8584664563336,2275.7623182132243,4770,2410
"DJ","Djibouti",3685.5617863657862,3381.0806702249847,5780,3180
"MA","Morocco",3964.97080466709,3406.4604431861944,9390,3710
"SZ","Eswatini",4048.0189783229976,3444.422331372346,9920,3800
"NA","Namibia",4127.301297844686,4076.3445658007904,10890,4880
"TN","Tunisia",4430.299791069432,3739.792365126411,12160,3840
"CV","Cape Verde",5154.306823483007,4389.732347731764,8970,4140
"GQ","Equatorial Guinea",5524.058129517187,6070.582894404234,12850,5320
"DZ","Algeria",5624.081643839081,4045.784468528712,12930,3900
"ZA","South Africa",5764.456587378933,6259.272587428356,15570,6780
"LY","Libya",6465.188990904409,5434.976724729707,23590,7260
"GA","Gabon",8103.33458021773,7763.70640885725,14880,7540
"BW","Botswana",8359.483552682934,7943.538944311742,17590,7350
"MU","Mauritius",12898.571293405243,10169.915160690069,27480,10760
"SC","Seychelles",16591.479074251198,15023.761287553001,33480,14340
"ER","Eritrea",,660.7429997227613,,
