Channel ID,Channel URL,Channel title
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC6uKrU_WqJ1R2HMTY3LIx5Q,http://www.youtube.com/channel/UC6uKrU_WqJ1R2HMTY3LIx5Q,Everyday Astronaut
UC9J9u3apteD0EuFjzRpt71w,http://www.youtube.com/channel/UC9J9u3apteD0EuFjzRpt71w,Wookash Podcast
UC9dRb4fbJQIbQ3KHJZF_z0g,http://www.youtube.com/channel/UC9dRb4fbJQIbQ3KHJZF_z0g,Let's Talk Religion
UCFsRlOn7gODgv6WUriLrzXg,http://www.youtube.com/channel/UCFsRlOn7gODgv6WUriLrzXg,devtools-fm
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCIFk2uvCNcEmZ77g0ESKLcQ,http://www.youtube.com/channel/UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files
UCMOqf8ab-42UUQIdVoKwjlQ,http://www.youtube.com/channel/UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering
UCR1IuLEqb6UEA_zQ81kwXfg,http://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering
UCgyxhwKAtiCREPVlOiamVZg,http://www.youtube.com/channel/UCgyxhwKAtiCREPVlOiamVZg,Software Unscripted Podcast
UCk0fGHsCEzGig-rSzkfCjMw,http://www.youtube.com/channel/UCk0fGHsCEzGig-rSzkfCjMw,The Engineering Mindset
UCxzC4EngIsMrPmbm6Nxvb-A,http://www.youtube.com/channel/UCxzC4EngIsMrPmbm6Nxvb-A,Scott Manley





